CPU utilization for five seconds: 14%/1%; one minute: 5%; five minutes: 4%
 PID QTy       PC Runtime (ms)    Invoked   uSecs    Stacks TTY Process
 722 Mwe  8BE8158      1208624   88171560      13 4752/6000   0 EIGRP-IPv4 Hello
 723 Mwe  8BE8158      1206560   88185857      13 4752/6000   0 EIGRP-IPv4 Hello
 724 Mwe  8BE8158      1218088   88170509      13 4752/6000   0 EIGRP-IPv4 Hello
 725 Mwe  8BE8158      1222644   88171599      13 4752/6000   0 EIGRP-IPv4 Hello
 726 Mwe  8BE8158      1864264  132172524      14 3884/6000   0 EIGRP-IPv4 Hello
 727 Mwe  8BE8158      1223996   88172437      13 4752/6000   0 EIGRP-IPv4 Hello
 728 Mwe  9D3EF28        35480  169623045       0 3868/6000   0 OSPF-104 Router 
 729 Mwe  8BE8158      1184704   66068631      17 4748/6000   0 EIGRP-IPv4 Hello
 730 Mwe  8BE8158      1852308  132189151      14 4748/6000   0 EIGRP-IPv4 Hello
 731 Mwe  8BE8158      1231764   88170754      13 4748/6000   0 EIGRP-IPv4 Hello
 732 Mwe  8BE8158      1209292   88170634      13 4748/6000   0 EIGRP-IPv4 Hello
 733 Mwe  8BE8158      1214064   88170926      13 4748/6000   0 EIGRP-IPv4 Hello
 734 Mwe  8BE8158      1218720   88170058      13 4748/6000   0 EIGRP-IPv4 Hello
 735 Mwe  8BE8158      3905400  313048033      12 4748/6000   0 EIGRP-IPv4 Hello
 736 Mwe  8BE8158       579412   44071515      13 4748/6000   0 EIGRP-IPv4 Hello
 737 Mwe  8BE8158      1222144   88170732      13 4748/6000   0 EIGRP-IPv4 Hello
 738 Mwe  8BE8158      2468192  154186450      16 4748/6000   0 EIGRP-IPv4 Hello
 739 Mwe  8BE8158      1213348   88171726      13 4748/6000   0 EIGRP-IPv4 Hello
 740 Mwe  8BE8158      1230920   88170334      13 4752/6000   0 EIGRP-IPv4 Hello
 741 Mwe  8BE8158      1232904   88172140      13 4752/6000   0 EIGRP-IPv4 Hello
 742 Mwe  8BE8158      1210124   88171291      13 4752/6000   0 EIGRP-IPv4 Hello
 743 Mwe  9D3A600      1811292  120204614      15 3624/6000   0 OSPF-1 Hello    
 744 Mwe  A1EB18C            4          2    200023264/24000  0 RSVP            
 745 Mwe  994347C            0          2       0 8164/9000   0 IPv6 IDB        
 746 Mwe  A94BF48            0          1       0 4776/6000   0 EM Action CNS   
 747 Lwe  99436C4        64636    6797763       9 8200/9000   0 IPv6 background 
 748 Mwe  99AEB54            0          1       0 5616/6000   0 IPv6 Address    
 749 Mwe  994CFA8           36    1700054       0 8544/9000   0 IPv6 Input      
 750 Mwe  9961CB0            0         11       0 7348/9000   0 IPv6 ND         
 751 Mwe  93A5B98        26332  408013682       010588/12000  0 MLD             
 752 Mwe  CE38464            0          1       0 5520/6000   0 MPLS TE OAM Clie
 753 Mwe  9D3A600       772020   36506559      21 4072/6000   0 OSPF-104 Hello  
 754 Mwe  9D3EF28        35500  177334972       0 3872/6000   0 OSPF-102 Router 
 755 Mwe  9D3A600       811284   38165881      21 4072/6000   0 OSPF-102 Hello  
 756 Mwe  9D3EF28        33396  177673411       0 3872/6000   0 OSPF-100 Router 
 757 Mwe  9D3A600       805204   38240050      21 4068/6000   0 OSPF-100 Hello  
 758 Mwe  8C64A20       998056   34615319      28 6296/9000   0 EIGRP-IPv4      
 759 Mwe  8BE8158       989360   69201608      14 4748/6000   0 EIGRP-IPv4 Hello
 760 Mwe  8C64A20       933828   32401494      28 6204/9000   0 EIGRP-IPv4      
 761 Mwe  8BE8158       915664   64777881      14 4748/6000   0 EIGRP-IPv4 Hello
 762 Mwe  8C64A20       925596   32261986      28 6208/9000   0 EIGRP-IPv4      
 763 Mwe  8BE8158       904496   64497345      14 4748/6000   0 EIGRP-IPv4 Hello
 764 Mwe  9D3EF28        31484  146153391       0 3872/6000   0 OSPF-106 Router 
 765 Mwe  9D3A600       660492   31449218      21 4072/6000   0 OSPF-106 Hello  
 766 Mwe  8C64A20       601556   19960596      30 6208/9000   0 EIGRP-IPv4      
 767 Mwe  8BE8158       559848   38905447      14 4748/6000   0 EIGRP-IPv4 Hello
 768 Mwe  8C64A20       543408   18816004      28 6292/9000   0 EIGRP-IPv4      
 769 Mwe  8BE8158       540784   37615541      14 4748/6000   0 EIGRP-IPv4 Hello
 770 Mwe  8C64A20       524976   17825080      29 6208/9000   0 EIGRP-IPv4      
 771 Mwe  8BE8158       512848   35535653      14 4748/6000   0 EIGRP-IPv4 Hello
 772 Mwe  8C64A20       451584   15414435      29 6292/9000   0 EIGRP-IPv4      
 773 Mwe  8BE8158       441412   30815341      14 4748/6000   0 EIGRP-IPv4 Hello
 774 Mwe  8C64A20       416680   14139255      29 6292/9000   0 EIGRP-IPv4      
 775 Mwe  8BE8158       399448   27875797      14 4748/6000   0 EIGRP-IPv4 Hello
 776 Mwe  8C64A20       363940   12277436      29 6296/9000   0 EIGRP-IPv4      
 777 Mwe  8BE8158       351280   24544171      14 4840/6000   0 EIGRP-IPv4 Hello
 778 Mwe  8C64A20        84224    2986441      28 6204/9000   0 EIGRP-IPv4      
 779 Mwe  8BE8158        82720    5969830      13 4840/6000   0 EIGRP-IPv4 Hello
