CPU utilization for five seconds: 10%/1%; one minute: 6%; five minutes: 4%
 PID QTy       PC Runtime (ms)    Invoked   uSecs    Stacks TTY Process
 722 Mwe  8BE8158      1275120   93328643      13 4748/6000   0 EIGRP-IPv4 Hello
 723 Mwe  8BE8158      1285140   93330309      13 4748/6000   0 EIGRP-IPv4 Hello
 724 Mwe  8BE8158      1952328  139933164      13 3444/6000   0 EIGRP-IPv4 Hello
 725 Mwe  8BE8158      1288972   93330475      13 4748/6000   0 EIGRP-IPv4 Hello
 726 Mwe  9D3EF28        33584  169598652       0 3964/6000   0 OSPF-104 Router 
 727 Mwe  8BE8158      1229708   69950507      17 4748/6000   0 EIGRP-IPv4 Hello
 728 Mwe  8BE8158      1949456  139914205      13 4748/6000   0 EIGRP-IPv4 Hello
 729 Mwe  8BE8158      1289528   93329748      13 4752/6000   0 EIGRP-IPv4 Hello
 730 Mwe  8BE8158      1293268   93330026      13 4752/6000   0 EIGRP-IPv4 Hello
 731 Mwe  8BE8158      1288288   93328635      13 4752/6000   0 EIGRP-IPv4 Hello
 732 Mwe  8BE8158      1292800   93328899      13 4752/6000   0 EIGRP-IPv4 Hello
 733 Mwe  8BE8158      1288220   93329538      13 4752/6000   0 EIGRP-IPv4 Hello
 734 Mwe  8BE8158      4176660  331958282      12 4752/6000   0 EIGRP-IPv4 Hello
 735 Mwe  8BE8158       617944   46676856      13 4752/6000   0 EIGRP-IPv4 Hello
 736 Mwe  8BE8158      1289712   93330135      13 4752/6000   0 EIGRP-IPv4 Hello
 737 Mwe  8BE8158      2619336  163223716      16 4752/6000   0 EIGRP-IPv4 Hello
 738 Mwe  8BE8158      1296916   93329006      13 4752/6000   0 EIGRP-IPv4 Hello
 739 Mwe  8BE8158      1274204   93329399      13 4752/6000   0 EIGRP-IPv4 Hello
 740 Mwe  8BE8158      1298748   93329613      13 4748/6000   0 EIGRP-IPv4 Hello
 741 Mwe  9D3A600      1847976  127001601      14 3620/6000   0 OSPF-1 Hello    
 742 Mwe  CE38464            0          1       0 5520/6000   0 MPLS TE OAM Clie
 743 Mwe  A1EB18C            0          2       023264/24000  0 RSVP            
 744 Mwe  A94BF48            0          1       0 4772/6000   0 EM Action CNS   
 745 Mwe  994347C            0          2       0 8168/9000   0 IPv6 IDB        
 746 Lwe  99436C4        91256    7195715      12 8204/9000   0 IPv6 background 
 747 Mwe  99AEB54            0          1       0 5612/6000   0 IPv6 Address    
 748 Mwe  994CFA8           32    1799553       0 8548/9000   0 IPv6 Input      
 749 Mwe  9961CB0            0         11       0 7352/9000   0 IPv6 ND         
 750 Mwe  93A5B98        27684  431893470       010592/12000  0 MLD             
 751 Mwe  9D3A600       762112   36502309      20 3624/6000   0 OSPF-104 Hello  
 752 Cwe  C162308            0          1       0 8636/9000   0 Network Synchron
 753 Mwe  8C64A20      1310308   45263087      28 6204/9000   0 EIGRP-IPv4      
 754 Mwe  8BE8158      1266616   90486098      13 4752/6000   0 EIGRP-IPv4 Hello
 755 Mwe  8C64A20      1006320   34615695      29 6204/9000   0 EIGRP-IPv4      
 756 Mwe  9D3EF28        34936  177321031       0 3968/6000   0 OSPF-102 Router 
 757 Mwe  9D3EF28        33432  177646442       0 3936/6000   0 OSPF-100 Router 
 758 Mwe  9D3A600       796932   38237771      20 3620/6000   0 OSPF-100 Hello  
 759 Mwe  9D3A600       821772   38166692      21 3620/6000   0 OSPF-102 Hello  
 760 Mwe  8BE8158       958868   69201578      13 4752/6000   0 EIGRP-IPv4 Hello
 761 Mwe  8C64A20       932832   32261597      28 6204/9000   0 EIGRP-IPv4      
 762 Mwe  8C64A20       948404   32401823      29 6208/9000   0 EIGRP-IPv4      
 763 Mwe  8BE8158       896636   64776762      13 4748/6000   0 EIGRP-IPv4 Hello
 764 Mwe  8BE8158       905412   64496046      14 4752/6000   0 EIGRP-IPv4 Hello
 765 Mwe  9D3EF28        29680  147510532       0 3936/6000   0 OSPF-106 Router 
 766 Mwe  9D3A600       666288   31671034      21 3620/6000   0 OSPF-106 Hello  
 767 Mwe  8C64A20       592568   19958403      29 6204/9000   0 EIGRP-IPv4      
 768 Mwe  8BE8158       554912   38902472      14 4748/6000   0 EIGRP-IPv4 Hello
 769 Mwe  8C64A20       557548   18815515      29 6208/9000   0 EIGRP-IPv4      
 770 Mwe  8C64A20       459320   15414437      29 6208/9000   0 EIGRP-IPv4      
 771 Mwe  8BE8158       537292   37614381      14 4748/6000   0 EIGRP-IPv4 Hello
 772 Mwe  8BE8158       434696   30814907      14 4748/6000   0 EIGRP-IPv4 Hello
 773 Mwe  8C64A20       418452   14140525      29 6208/9000   0 EIGRP-IPv4      
 774 Mwe  8C64A20       527716   17824731      29 6204/9000   0 EIGRP-IPv4      
 775 Mwe  8BE8158       508896   35534285      14 4752/6000   0 EIGRP-IPv4 Hello
 776 Mwe  8BE8158       400172   27874224      14 4748/6000   0 EIGRP-IPv4 Hello
 777 Mwe  8C64A20        84584    2986361      28 6208/9000   0 EIGRP-IPv4      
 778 Mwe  8C64A20       363736   12277507      29 6292/9000   0 EIGRP-IPv4      
 779 Mwe  8BE8158       355032   24544162      14 4748/6000   0 EIGRP-IPv4 Hello
 780 Mwe  8BE8158        82464    5969859      13 4840/6000   0 EIGRP-IPv4 Hello
